일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,기타법인
2026/06/26,-9072,+13798,-3094,+15488,-565,-17557,-154,+7,-313,,-1633
2026/06/25,+8202,-28381,+18922,+309,+1282,+17123,+241,-18,-14,,+1256
2026/06/24,-4975,-22933,+27750,+6616,+263,+20509,-112,+16,+457,,+159
2026/06/23,-4159,+21409,-16510,+18754,-271,-35400,-1,+7,+400,,-740
2026/06/22,-5159,-1762,+8222,+3075,+298,+5537,+26,-7,-706,,-1301
2026/06/19,-1262,+14766,-12787,+2571,-170,-14727,-149,+76,-389,,-716
2026/06/18,+3343,-5639,+2029,-4149,+228,+6562,+134,-11,-736,,+268
2026/06/17,+1151,-7820,+6115,+9093,+345,-3875,-105,,+658,,+554
2026/06/16,+682,+1413,-2102,-10326,+330,+8059,-93,+7,-79,,+6
2026/06/15,-589,+940,-344,-5258,-354,+6868,-25,-6,-1568,,-9
2026/06/12,+4407,+3668,-8309,-19232,+1292,+9387,+114,+9,+120,,+233
2026/06/11,+93,-1941,+1477,+4216,-1730,-1194,+70,+75,+39,,+371
2026/06/10,-898,+8309,-6761,+2491,-100,-9725,-115,-335,+1024,,-649
2026/06/09,-944,-23922,+22408,-3397,+544,+25672,+108,-354,-164,,+2459
2026/06/08,-4026,+13102,-7879,+10455,-512,-18302,+48,+97,+335,,-1196
2026/06/05,-3956,+10374,-5417,+9015,+535,-14998,-26,+69,-13,,-1002
2026/06/04,-3381,+7992,-4510,-5317,+201,+1168,-58,+78,-582,,-101
2026/06/02,+1462,-8985,+7689,+13520,+1913,-6327,-94,+76,-1399,,-168
2026/06/01,+6308,-5407,-2847,-5395,+1159,+1506,-44,+159,-232,,+1945
2026/05/29,-432,+17242,-16357,-26365,-615,+10910,+77,+9,-375,,-454
2026/05/28,-4571,-4249,+11619,+17687,+385,-6731,+12,-36,+302,,-2799
2026/05/27,-134,+957,-1568,+3801,+477,-6005,+17,+170,-28,,+745
2026/05/26,+197,-640,+516,-8893,-473,+10246,-154,-22,-191,,-72
2026/05/22,+6975,+853,-9022,+1937,-244,-10950,-6,+37,+204,,+1194
2026/05/21,-2040,-13800,+15002,-17342,+1316,+31435,+22,-136,-295,,+840
2026/05/20,-282,-3466,+3966,+2947,+1702,-895,+53,+49,+112,,-220
2026/05/19,+2245,+1850,-3997,+2245,+231,-6427,+92,-26,-113,,-99
2026/05/18,-3375,+89,+3333,-6976,+2331,+7983,+86,-197,+104,,-47
2026/05/15,-1868,+8698,-5103,+10009,-747,-14232,-52,,-81,,-1726
2026/05/14,+2594,-15942,+12500,+17889,+622,-5766,-155,-10,-81,,+848
2026/05/13,+4070,-20564,+15405,+3794,+696,+10594,+175,+9,+137,,+1090
2026/05/12,-5446,+867,+5780,+20044,+81,-14144,-121,,-81,,-1201
2026/05/11,-2314,-9201,+11544,-3756,+835,+14380,-1,,+85,,-30
2026/05/08,+1731,-13078,+11394,+8353,+299,+2777,-3,+17,-49,,-47
2026/05/07,-4269,-9243,+15003,+17907,+1144,-3924,+38,-40,-120,,-1491
2026/05/06,+3039,-23257,+19896,+14496,+1262,+4267,-40,+41,-130,,+322
2026/05/04,-2802,+10002,-7279,-21920,+846,+13750,+77,-10,-21,,+78
2026/04/30,-408,+4446,-4003,+7182,-195,-10842,-85,-15,-48,,-35
2026/04/29,-961,-8736,+9656,+8261,+39,+576,,+7,+772,,+41
2026/04/28,+1478,-4769,+3286,+5089,-527,-1183,-25,+7,-77,,+5
2026/04/27,-631,+4294,-3786,-9443,-16,+5952,-105,-22,-152,,+123
2026/04/24,+935,-163,-731,-3242,+112,+2279,+30,+5,+85,,-41
2026/04/23,-1843,+4345,-2733,-7897,+692,+4747,+1,-4,-273,,+232
2026/04/22,+45,-8055,+7897,+11311,-92,-4387,-31,+14,+1084,,+113
2026/04/21,-478,-452,+775,-1262,-209,+2430,-41,,-144,,+155
2026/04/20,+1943,+3407,-5610,-8792,-890,+4308,+129,-21,-344,,+261
2026/04/17,+1318,-2695,+1393,+1874,+458,-917,-33,+11,-2,,-17
2026/04/16,-542,+7293,-6607,-7288,+156,+521,+18,,-13,,-144
