일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,기타법인
2026/06/26,-7213,-47259,+55959,+41858,+115,+13389,,,+596,,-1487
2026/06/25,+7903,+22584,-32299,-58415,-122,+26781,,,-542,,+1814
2026/06/24,-1969,+13540,-11677,-6297,+152,-5069,,,-463,,+107
2026/06/23,-15281,-33676,+49230,+66647,+5,-18455,+1,,+1033,,-273
2026/06/22,-4977,+2575,+3630,-5430,+110,+9518,,,-569,,-1228
2026/06/19,-3185,-5844,+9039,+9136,-136,+161,,,-122,,-10
2026/06/18,+3843,+9480,-13619,-19026,+95,+4987,,,+326,,+296
2026/06/17,+2778,+8621,-11550,-14643,-25,+3672,,,-554,,+151
2026/06/16,+1242,+2634,-4094,-7854,-26,+3951,,,-166,,+218
2026/06/15,+646,-8904,+8147,-5685,-58,+14230,,,-340,,+111
2026/06/12,+7868,+7087,-15597,-24171,-71,+9480,,,-836,,+642
2026/06/11,+3126,-2376,-874,+1175,-130,+1456,+1,,-3375,,+125
2026/06/10,+314,-10457,+10132,+12259,-208,-2357,+1,,+437,,+12
2026/06/09,-4558,+11634,-6061,-30142,-11,+24345,,,-252,,-1015
2026/06/08,-4206,-5376,+9924,+15518,-82,-5760,,-1,+249,,-342
2026/06/05,-1653,-25480,+28492,+30056,-22,-1841,,,+298,,-1359
2026/06/04,+553,+1059,-1082,-10785,-2,+9845,,,-142,,-529
2026/06/02,-5730,-11108,+17381,+13037,-8,+4183,,,+169,,-543
2026/06/01,-1901,-144,+601,-2389,-320,+3176,,,+134,,+1445
2026/05/29,-1382,-6659,+8435,-794,-52,+9380,,,-98,,-394
2026/05/28,-4559,-4912,+10646,+6781,+49,+3817,,,,,-1175
2026/05/27,+1235,-1386,+442,-29527,+136,+29773,,,+59,,-292
2026/05/26,+4175,+4714,-9165,-27772,-18,+18396,,,+228,,+274
2026/05/22,+2139,-966,-1702,-2481,+18,+871,,,-109,,+530
