일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,기타법인
2026-06-26,92405,-51964,-44449,-27827,-279,-13589,-9,14,-511,-2248,3410
2026-06-25,-29041,-10298,39960,29044,-931,7980,72,-50,389,3456,-433
2026-06-24,30336,-52712,20477,17756,-7,987,31,40,98,1573,1770
2026-06-23,115038,-62271,-54828,-32138,-908,-13263,-144,-38,-2827,-5510,1342
2026-06-22,34157,-36358,1354,3600,-775,3773,-19,-144,-1616,-3463,673
2026-06-19,30496,-15416,-14230,-3824,-2268,1078,55,-5,-4780,-4487,-1060
2026-06-18,-9897,16405,-4741,3013,-1408,-138,99,-1,-3224,-3082,-1767
2026-06-17,5544,-12782,8100,6997,-592,5657,-69,89,-1556,-2426,-846
2026-06-16,-24535,14438,10716,4340,-269,5346,63,177,-411,1472,-489
2026-06-15,-23549,17414,6509,7508,-502,1171,27,203,-276,-1624,-157
2026-06-12,-46541,26224,22227,22858,-443,1463,117,-56,-3357,1645,-1643
2026-06-11,26151,-18483,-10010,-14108,994,2431,-16,-13,-1246,1949,2220
2026-06-10,51250,-28858,-24778,-16092,505,-4887,52,47,-2917,-1485,1982
2026-06-09,-9127,-19670,27333,21405,-832,9262,178,29,-402,-2306,1514
2026-06-08,28249,-3413,-28096,-25185,247,-4645,-121,135,584,889,3001
2026-06-05,61488,-37925,-24186,-14125,-104,-4169,-118,108,-808,-4972,317
2026-06-04,58850,-73403,12348,12514,-436,2193,5,166,-619,-1474,1806
2026-06-02,80909,-77995,-1422,1918,-634,-1201,-6,83,943,-2524,-1852
2026-06-01,3600,-29395,27364,25642,-2211,2939,-80,-34,693,416,-1597
2026-05-29,-19498,-11877,29803,22481,-191,4362,-4,46,1748,1360,1333
2026-05-28,46679,-41234,-7304,-2727,-151,-5721,-53,34,579,735,1767
2026-05-27,1767,-3633,5114,13113,-2890,-2534,-135,-113,-2578,251,-3211
2026-05-26,-16029,3129,14001,5992,-1896,8996,-302,-52,-773,2034,-1105
2026-05-22,19440,-27822,7043,6897,-621,-304,7,132,-514,1445,1218
2026-05-21,-27394,-6230,32810,28092,-546,3511,50,-140,-487,2328,574
2026-05-20,15115,-31222,14118,11072,227,1033,45,195,-502,2046,1964
2026-05-19,64497,-66300,2412,3679,-76,-810,-43,201,-1013,473,-789
2026-05-18,27346,-42210,14975,15766,-163,-412,-225,137,-167,38,-246
2026-05-15,81970,-63962,-20606,-12168,-222,-4944,-5,-2,-818,-2445,1897
2026-05-14,36712,-33026,-5957,5349,-1739,-4057,-85,-79,-1780,-3565,1982
2026-05-13,21500,-37325,13681,15217,-476,-126,87,-254,-2041,1273,1918
2026-05-12,77963,-67638,-10803,-7950,-1291,752,-91,58,-1331,-950,134
2026-05-11,34533,-37404,2697,9816,-3684,-2699,23,425,-2669,1483,-158
2026-05-08,47778,-59082,9403,11717,-815,-504,-4,103,-534,-559,1742
2026-05-07,74287,-72510,419,10534,-800,-3048,-212,37,23,-6116,-2485
2026-05-06,-12271,36448,-20426,-6261,-4666,-5137,-96,10,-1953,-2323,-3758
2026-05-04,-61307,38418,24779,22608,-1082,-159,-59,106,-186,3550,-1521
2026-04-30,12109,-10725,-1258,2939,-366,-806,-20,130,-416,-2719,-210
2026-04-29,2107,-1302,-327,-2304,117,591,-10,-43,-92,1414,-554
2026-04-28,10237,-8903,-346,2350,-1097,-505,-265,51,-409,-473,-1064
2026-04-27,-24214,13081,11868,15150,-814,-401,-143,110,-1649,-383,-728
2026-04-24,21732,-24347,2760,6508,-422,241,-355,75,-715,-2570,-196
2026-04-23,2131,-2299,544,3361,-886,-2076,22,25,202,-105,-394
2026-04-22,18861,-8016,-10026,-8862,-321,239,63,55,247,-1446,-955
2026-04-21,-17510,10819,8699,9425,-913,-283,-191,-81,450,293,-1957
2026-04-20,-6054,-279,3747,6271,-547,-430,32,-9,-507,-1064,2587
2026-04-17,16342,-20488,-216,3250,-568,-502,-58,-90,-866,-1381,4273
2026-04-16,-15915,4498,8618,10321,-398,-437,23,-111,-395,-384,2762
2026-04-15,-4306,1523,-1066,5260,-1346,-2007,104,55,-1294,-1836,3852
2026-04-14,-23829,6822,13805,14460,-558,-227,-77,-12,-527,747,3315
2026-04-13,6715,-2143,-8807,-6729,-161,993,221,159,-1748,-1541,4208
2026-04-10,-9596,7289,-2088,1647,-190,-2079,-199,156,-661,-764,4411
