일자,종가,전일대비,등락률,거래량,업틱룰적용 체결수량,업틱룰적용 체결금액,업틱룰예외 체결수량,업틱룰예외 체결금액
2026/06/26,2673000,244000,-8.36,7467492,466694,1269932379,46510,124146426
2026/06/25,2917000,337000,+13.06,6790853,179792,503047169,40979,117327091
2026/06/24,2580000,25000,+0.98,7487916,531429,1369417542,30288,79352352
2026/06/23,2555000,364000,-12.47,8050335,403456,1091612222,27360,72791240
2026/06/22,2919000,155000,+5.61,5179795,63146,182671650,13547,39299280
2026/06/19,2764000,79000,+2.94,7478195,256138,702358550,53863,151478324
2026/06/18,2685000,164000,+6.51,5808765,151741,402321562,47397,125007230
2026/06/17,2521000,139000,+5.84,3980010,45288,110091460,19133,47318444
2026/06/16,2382000,94000,+4.11,3644469,90501,214494760,15542,36826306
2026/06/15,2288000,138000,+6.42,3872910,148175,339618036,12076,27653634
2026/06/12,2150000,49000,+2.33,5286416,214892,488889230,100118,226910902
2026/06/11,2101000,53000,+2.59,6625775,237161,489215286,10232,21243671
2026/06/10,2048000,167000,-7.54,4928269,193222,407101822,4162,8782854
2026/06/09,2215000,304000,+15.91,5878039,377034,804991908,24138,51769030
2026/06/08,1911000,159000,-7.68,6610833,259110,519470256,23630,47174206
2026/06/05,2070000,228000,-9.92,5778751,269593,572063005,42186,89012542
2026/06/04,2298000,62000,-2.63,3941067,235448,538715862,30409,69832058
2026/06/02,2360000,3000,-0.13,5837216,216020,503640476,25882,60259582
2026/06/01,2363000,30000,+1.29,5602897,106347,245003485,50713,119173338
2026/05/29,2333000,44000,+1.92,8518013,507120,1181587003,83872,196499288
2026/05/28,2289000,46000,+2.05,6229499,299945,657303364,47888,106162704
2026/05/27,2243000,191000,+9.31,7545783,36226,81786958,130262,293460600
2026/05/26,2052000,111000,+5.72,4903591,228767,465004387,59696,120965842
2026/05/22,1941000,1000,+0.05,3135190,41635,80799691,19884,38571068
2026/05/21,1940000,195000,+11.17,5096690,133770,250599330,5654,10695660
2026/05/20,1745000,0,0,5535123,113531,197297636,4495,7765096
2026/05/19,1745000,95000,-5.16,4575855,113500,202535756,1984,3535604
2026/05/18,1840000,21000,+1.15,6481608,37703,68899962,15074,27042910
2026/05/15,1819000,151000,-7.66,7485233,227638,442865800,8835,16117143
2026/05/14,1970000,6000,-0.30,6040068,260654,514449961,4654,9134706
2026/05/13,1976000,141000,+7.68,7126921,248714,449929408,3902,7468050
2026/05/12,1835000,45000,-2.39,9160593,91195,173679808,11099,20622936
2026/05/11,1880000,194000,+11.51,7433039,222402,415125925,35633,65738829
2026/05/08,1686000,32000,+1.93,4278087,28018,45913664,2773,4622261
2026/05/07,1654000,53000,+3.31,5860618,50897,83222720,8105,12982750
2026/05/06,1601000,154000,+10.64,6631934,227349,361509244,111736,177090746
2026/05/04,1447000,161000,+12.52,5776641,8714,12276446,18275,25417152
2026/04/30,1286000,7000,-0.54,3342342,6891,8989570,3702,4872024
2026/04/29,1293000,7000,-0.54,3001208,57943,75163582,507,659946
2026/04/28,1300000,8000,+0.62,3002713,114792,150350070,4253,5597477
2026/04/27,1292000,70000,+5.73,4563073,7265,9365545,25825,33388282
2026/04/24,1222000,3000,-0.24,3127857,63605,77433066,1735,2125261
2026/04/23,1225000,2000,+0.16,5343871,26982,32898126,40148,49435715
2026/04/22,1223000,1000,-0.08,2894919,39757,48350374,26662,32463056
2026/04/21,1224000,58000,+4.97,3516960,16867,20542133,29834,35998174
2026/04/20,1166000,38000,+3.37,3748014,192714,221788148,5596,6512821
2026/04/17,1128000,27000,-2.34,3578235,373925,424738797,2797,3201634
2026/04/16,1155000,19000,+1.67,2901319,35429,40821214,12221,14078250
2026/04/15,1136000,33000,+2.99,4093703,31297,36279097,116485,135229359
2026/04/14,1103000,63000,+6.06,4754545,22034,24516688,48071,53116824
2026/04/13,1040000,13000,+1.27,2769753,18250,18518340,90584,93661690
2026/04/10,1027000,29000,+2.91,3134921,21433,22119730,40594,41864723
2026/04/09,998000,35000,-3.39,5026817,395441,395427744,54138,54104400
2026/04/08,1033000,117000,+12.77,6709356,85714,88088168,125720,127660928
2026/04/07,916000,30000,+3.39,3619929,334800,305996271,118912,107666108
2026/04/06,886000,10000,+1.14,3100989,29732,26361886,77365,68118786
2026/04/03,876000,46000,+5.54,2927164,51530,45167924,113053,99076750
2026/04/02,830000,63000,-7.05,6127534,287709,243958640,151574,128429180
2026/04/01,893000,86000,+10.66,6255058,130065,114137998,31505,27950752
2026/03/31,807000,66000,-7.56,7194351,64381,53267460,51334,41863838
2026/03/30,873000,49000,-5.31,4498502,71537,62162756,40360,35281922
2026/03/27,922000,11000,-1.18,4520942,248491,225703278,43450,38898567
2026/03/26,933000,62000,-6.23,4660620,237810,225258371,74619,70524788
2026/03/25,995000,9000,+0.91,4463869,199196,200239016,62801,63201212
2026/03/24,986000,53000,+5.68,4352152,50301,49225584,20977,20494710
2026/03/23,933000,74000,-7.35,3911813,73075,68881532,116118,109128900
2026/03/20,1007000,6000,-0.59,3426646,178376,180519172,59322,59920323
2026/03/19,1013000,43000,-4.07,3347483,200981,204463768,92388,93864632
2026/03/18,1056000,86000,+8.87,4347884,35631,36212721,57715,59542020
2026/03/17,970000,4000,-0.41,3326240,34922,34836958,49484,49331602
