일자,기초자산,전일대비,등락률,주식선물,전일대비,등락률,거래량,미결제,이론가,괴리율,이론BASIS,시장BASIS
2026-06-26,2673000,244000,-8.36,2708000,252000,-8.51,25372,69327,2682904,0.94,9904,35000
2026-06-25,2917000,337000,13.06,2960000,343000,13.11,8275,56567,2928028,1.09,11028,43000
2026-06-24,2580000,25000,0.98,2617000,51000,1.99,8573,40333,2589949,1.04,9949,37000
2026-06-23,2555000,364000,-12.47,2566000,403000,-13.57,6407,38128,2565119,0.03,10119,11000
2026-06-22,2919000,155000,5.61,2969000,167000,5.96,3386,31784,2930741,1.31,11741,50000
2026-06-19,2764000,79000,2.94,2802000,82000,3.01,7963,24324,2775789,0.94,11789,38000
2026-06-18,2685000,164000,6.51,2720000,142000,5.51,7401,22600,2696698,0.86,11698,35000
2026-06-17,2521000,139000,5.84,2578000,163000,6.75,4306,7724,2532176,1.81,11176,57000
2026-06-16,2382000,94000,4.11,2415000,114000,4.95,1893,7335,2392704,0.93,10704,33000
2026-06-15,2288000,138000,6.42,2301000,132000,6.09,3164,5901,2298606,0.1,10606,13000
2026-06-12,2150000,49000,2.33,2169000,49000,2.31,1291,537,2160502,0.39,10502,19000
2026-06-11,2101000,53000,2.59,2120000,2000,-0.09,2,10,2111315,0.41,10315,19000
2026-06-10,2048000,167000,-7.54,2122000,113000,-5.06,3,8,2058248,3.1,10248,74000
2026-06-09,2215000,304000,15.91,2235000,235000,11.75,7,9,2226134,0.4,11134,20000
2026-06-08,1911000,159000,-7.68,2000000,10000,0.5,3,5,1920751,4.13,9751,89000
2026-06-05,2070000,228000,-9.92,2296000,0,0,0,4,2081076,10.33,11076,226000
2026-06-04,2298000,62000,-2.63,2401000,0,0,0,4,2310471,3.92,12471,103000
2026-06-02,2360000,3000,-0.13,2401000,29000,1.22,2,4,2373168,1.17,13168,41000
2026-06-01,2363000,30000,1.29,2369000,0,0,0,4,2376366,-0.31,13366,6000
2026-05-29,2333000,44000,1.92,2369000,169000,7.68,4,4,2346780,0.95,13780,36000
2026-05-28,2289000,46000,2.05,2200000,68000,-3,4,5,2302647,-4.46,13647,-89000
2026-05-27,2243000,191000,9.31,2076000,0,0,0,2,2256447,-8,13447,-167000
2026-05-26,2052000,111000,5.72,1954000,0,0,0,2,2064458,-5.35,12458,-98000
2026-05-22,1941000,1000,0.05,1944000,0,0,0,2,1953462,-0.48,12462,3000
2026-05-21,1940000,195000,11.17,1787000,0,0,0,2,1952559,-8.48,12559,-153000
2026-05-20,1745000,0,0,1787000,65000,-3.51,1,2,1756430,1.74,11430,42000
2026-05-19,1745000,95000,-5.16,1852000,0,0,1,1,1756604,5.43,11604,107000
2026-05-18,1840000,21000,1.15,1831000,0,0,0,0,1852332,-1.15,12332,-9000
2026-05-15,1819000,151000,-7.66,1983000,0,0,0,0,1831320,8.28,12320,164000
