일자,시가,고가,저가,종가,전일대비,등락률,거래량
2026/06/26,2954000,2954000,2954000,2954000,0,0.00,0
2026/06/25,2623000,2623000,2623000,2623000,0,0.00,0
2026/06/24,2577000,2577000,2577000,2577000,0,0.00,0
2026/06/23,2964000,2964000,2964000,2964000,0,0.00,0
2026/06/22,2675000,2675000,2675000,2675000,0,0.00,0
2026/06/19,2675000,2675000,2675000,2675000,54000,-1.98,1
2026/06/18,2568000,2568000,2568000,2568000,0,0.00,0
2026/06/17,2415000,2415000,2415000,2415000,0,0.00,6500
2026/06/16,2369000,2369000,2369000,2369000,0,0.00,0
2026/06/15,2369000,2369000,2369000,2369000,215000,+9.98,3
2026/06/12,2132000,2132000,2132000,2132000,0,0.00,0
2026/06/11,2081000,2081000,2081000,2081000,0,0.00,0
2026/06/10,2236000,2236000,2236000,2236000,0,0.00,6900
2026/06/09,1886000,1886000,1886000,1886000,0,0.00,0
2026/06/08,1995000,1995000,1995000,1995000,0,0.00,0
2026/06/05,2301000,2301000,2301000,2301000,0,0.00,0
2026/06/04,2357000,2357000,2357000,2357000,0,0.00,0
2026/06/02,2378000,2378000,2378000,2378000,0,0.00,6300
2026/06/01,2320000,2320000,2320000,2320000,0,0.00,13000
2026/05/29,2320000,2320000,2320000,2320000,0,0.00,13001
2026/05/28,2191000,2320000,2191000,2320000,20000,-0.85,3
2026/05/27,2340000,2340000,2340000,2340000,250000,+11.96,5001
2026/05/26,2090000,2090000,2090000,2090000,131000,+6.69,1
2026/05/22,2000000,2000000,2000000,2000000,0,0.00,0
2026/05/21,2000000,2000000,2000000,2000000,245000,+13.96,1
2026/05/20,1765000,1765000,1765000,1765000,0,0.00,0
2026/05/19,1863000,1863000,1863000,1863000,0,0.00,0
2026/05/18,1865000,1865000,1865000,1865000,0,0.00,0
2026/05/15,2005000,2005000,2005000,2005000,0,0.00,0
2026/05/14,1998000,1998000,1998000,1998000,0,0.00,0
2026/05/13,1851000,1851000,1851000,1851000,0,0.00,0
2026/05/12,1910000,1910000,1910000,1910000,0,0.00,0
2026/05/11,1711000,1711000,1711000,1711000,0,0.00,0
2026/05/08,1620000,1620000,1620000,1620000,0,0.00,0
2026/05/07,1620000,1620000,1620000,1620000,0,0.00,1
2026/05/06,1464000,1464000,1464000,1464000,0,0.00,0
2026/05/04,1298000,1298000,1298000,1298000,0,0.00,0
2026/04/30,1303000,1303000,1303000,1303000,0,0.00,0
2026/04/29,1317000,1317000,1317000,1317000,0,0.00,0
2026/04/28,1307000,1307000,1307000,1307000,0,0.00,0
2026/04/27,1238000,1238000,1238000,1238000,0,0.00,0
2026/04/24,1238000,1238000,1238000,1238000,0,0.00,0
2026/04/23,1239000,1239000,1239000,1239000,0,0.00,0
2026/04/22,1238000,1238000,1238000,1238000,0,0.00,0
2026/04/21,1179000,1179000,1179000,1179000,0,0.00,0
2026/04/20,1142000,1142000,1142000,1142000,0,0.00,0
2026/04/17,1169000,1169000,1169000,1169000,0,0.00,0
2026/04/16,1150000,1150000,1150000,1150000,0,0.00,0
2026/04/15,1120000,1120000,1120000,1120000,0,0.00,0
2026/04/14,1053000,1053000,1053000,1053000,0,0.00,0
2026/04/13,1041000,1041000,1041000,1041000,0,0.00,0
2026/04/10,1010000,1010000,1010000,1010000,0,0.00,0
2026/04/09,1044000,1044000,1044000,1044000,0,0.00,0
2026/04/08,924000,924000,924000,924000,0,0.00,0
2026/04/07,896000,896000,896000,896000,0,0.00,0
2026/04/06,886000,886000,886000,886000,0,0.00,0
2026/04/03,844000,844000,844000,844000,0,0.00,0
2026/04/02,900000,900000,900000,900000,0,0.00,0
