일자,기초자산,현재가,전일대비,이론가,이론BASIS,시장BASIS,괴리치,괴리율,미결제약정
2026/06/26,1366.49,1385.90,75.70,1374.69,+94.98,+19.41,-75.57,-5.17,145912
2026/06/25,1454.15,1461.60,79.75,1461.58,+7.43,+7.45,+0.02,+0.00,146983
2026/06/24,1369.62,1381.85,41.45,1376.68,+7.06,+12.23,+5.17,+0.38,142793
2026/06/23,1321.70,1340.40,150.10,1328.59,+6.89,+18.70,+11.81,+0.89,141821
2026/06/22,1477.22,1490.50,15.00,1485.17,+7.95,+13.28,+5.33,+0.36,148394
2026/06/19,1459.48,1475.50,5.40,1467.76,+8.28,+16.02,+7.74,+0.53,147017
2026/06/18,1459.23,1470.10,41.25,1467.59,+8.36,+10.87,+2.51,+0.17,152599
2026/06/17,1416.97,1428.85,25.75,1425.20,+8.23,+11.88,+3.65,+0.26,150027
2026/06/16,1391.74,1403.10,27.10,1399.90,+8.16,+11.36,+3.20,+0.23,149807
2026/06/15,1360.26,1376.00,76.15,1368.41,+8.15,+15.74,+7.59,+0.55,149456
2026/06/12,1291.32,1299.85,63.80,1299.32,+8.00,+8.53,+0.53,+0.04,150065
2026/06/11,1231.54,1236.05,1.10,1239.12,+7.58,+4.51,-3.07,-0.25,144608
2026/06/10,1227.12,1237.15,65.05,1234.79,+7.67,+10.03,+2.36,+0.19,125358
2026/06/09,1293.40,1302.20,137.20,1301.57,+8.17,+8.80,+0.63,+0.05,81843
2026/06/08,1186.54,1165.00,145.95,1193.95,+7.41,-21.54,-28.95,-2.42,46566
2026/06/05,1297.02,1310.95,82.95,1305.63,+8.61,+13.93,+5.32,+0.41,14787
2026/06/04,1379.56,1393.90,27.90,1388.88,+9.32,+14.34,+5.02,+0.36,13259
2026/06/02,1407.23,1421.80,4.30,1416.98,+9.75,+14.57,+4.82,+0.34,12123
2026/06/01,1399.91,1426.10,67.00,1409.68,+9.77,+26.19,+16.42,+1.16,11847
2026/05/26,1260.53,1274.25,38.95,1269.62,+9.09,+13.72,+4.63,+0.36,8036
2026/05/22,1226.03,1235.30,5.25,1235.29,+9.26,+9.27,+0.01,+0.00,7207
2026/05/21,1225.22,1230.05,96.85,1234.57,+9.35,+4.83,-4.52,-0.37,7053
2026/05/20,1125.51,1133.20,10.25,1134.07,+8.56,+7.69,-0.87,-0.08,6773
2026/05/19,1132.42,1143.45,43.55,1141.13,+8.71,+11.03,+2.32,+0.20,6694
2026/05/18,1171.30,1187.00,8.00,1180.45,+9.15,+15.70,+6.55,+0.55,6626
2026/05/15,1162.39,1179.00,65.50,1171.48,+9.09,+16.61,+7.52,+0.64,5605
2026/05/14,1243.17,1244.50,16.30,1253.10,+9.93,+1.33,-8.60,-0.69,4460
2026/05/13,1220.17,1228.20,35.85,1229.98,+9.81,+8.03,-1.78,-0.14,4321
2026/05/12,1183.41,1192.35,26.05,1192.97,+9.56,+8.94,-0.62,-0.05,3824
2026/05/11,1211.44,1218.40,57.80,1221.40,+9.96,+6.96,-3.00,-0.25,3502
2026/05/08,1151.17,1160.60,2.60,1160.66,+9.49,+9.43,-0.06,-0.01,3344
2026/05/07,1149.86,1158.00,23.65,1159.46,+9.60,+8.14,-1.46,-0.13,3390
2026/05/06,1129.63,1134.35,78.15,1139.07,+9.44,+4.72,-4.72,-0.41,3332
2026/05/04,1049.66,1056.20,53.10,1058.50,+8.84,+6.54,-2.30,-0.22,2878
2026/04/30,992.15,1003.10,6.30,1000.71,+8.56,+10.95,+2.39,+0.24,2804
2026/04/29,1006.59,1009.40,2.35,1015.38,+8.79,+2.81,-5.98,-0.59,2795
2026/04/28,999.03,1007.05,6.05,1007.78,+8.75,+8.02,-0.73,-0.07,2628
2026/04/27,995.33,1001.00,20.90,1004.12,+8.79,+5.67,-3.12,-0.31,2606
2026/04/21,962.26,969.15,24.15,971.08,+8.82,+6.89,-1.93,-0.20,2256
2026/04/20,935.75,945.00,6.35,944.34,+8.59,+9.25,+0.66,+0.07,2208
2026/04/17,931.41,938.65,7.20,940.17,+8.76,+7.24,-1.52,-0.16,2146
2026/04/16,937.87,945.85,20.80,946.70,+8.83,+7.98,-0.85,-0.09,1817
2026/04/15,916.60,925.05,21.10,925.26,+8.66,+8.45,-0.21,-0.02,1711
2026/04/14,897.00,903.95,27.40,905.59,+8.59,+6.95,-1.64,-0.18,1698
2026/04/13,870.78,876.55,10.00,879.05,+8.27,+5.77,-2.50,-0.28,1677
2026/04/10,878.78,886.55,16.20,887.32,+8.54,+7.77,-0.77,-0.09,1662
2026/04/09,865.75,870.35,18.10,874.20,+8.45,+4.60,-3.85,-0.44,1630
2026/04/08,882.81,888.45,62.45,891.68,+8.87,+5.64,-3.23,-0.36,1611
2026/04/07,821.10,826.00,10.95,829.24,+8.14,+4.90,-3.24,-0.39,1563
2026/04/06,811.84,815.05,11.35,819.93,+8.09,+3.21,-4.88,-0.60,1536
2026/04/03,798.32,803.70,21.05,806.58,+8.26,+5.38,-2.88,-0.36,1530
2026/04/02,774.63,782.65,39.75,782.54,+7.91,+8.02,+0.11,+0.01,1503
2026/04/01,813.84,822.40,71.30,822.33,+8.49,+8.56,+0.07,+0.01,1422
2026/03/31,744.57,751.10,34.85,752.27,+7.70,+6.53,-1.17,-0.16,1379
2026/03/30,780.32,785.95,23.00,788.45,+8.13,+5.63,-2.50,-0.32,1169
2026/03/27,805.19,808.95,7.20,812.73,+7.54,+3.76,-3.78,-0.47,1128
2026/03/26,808.89,816.15,29.25,816.46,+7.57,+7.26,-0.31,-0.04,1108
2026/03/25,838.70,845.40,11.70,846.77,+8.07,+6.70,-1.37,-0.16,1068
2026/03/24,827.64,833.70,25.40,835.51,+7.87,+6.06,-1.81,-0.22,713
2026/03/23,804.86,808.30,57.30,812.39,+7.53,+3.44,-4.09,-0.50,691
2026/03/20,862.50,865.60,1.40,870.84,+8.34,+3.10,-5.24,-0.60,675
2026/03/19,862.37,867.00,27.55,870.57,+8.20,+4.63,-3.57,-0.41,665
2026/03/18,888.57,894.55,47.40,897.20,+8.63,+5.98,-2.65,-0.30,669
2026/03/17,840.89,847.15,16.05,848.44,+7.55,+6.26,-1.29,-0.15,654
2026/03/16,826.83,831.10,14.10,834.29,+7.46,+4.27,-3.19,-0.38,644
2026/03/13,812.93,817.00,17.80,820.39,+7.46,+4.07,-3.39,-0.41,615
2026/03/12,827.51,834.80,7.85,835.11,+7.60,+7.29,-0.31,-0.04,605
2026/03/11,834.05,842.65,11.85,841.81,+7.76,+8.60,+0.84,+0.10,608
2026/03/10,823.02,830.80,50.70,831.06,+8.04,+7.78,-0.26,-0.03,605
2026/03/09,775.31,780.10,55.15,782.35,+7.04,+4.79,-2.25,-0.29,604
2026/03/06,828.83,830.00,0.00,836.83,+8.00,+1.17,-6.83,-0.82,612
2026/03/05,831.22,830.00,60.00,839.36,+8.14,-1.22,-9.36,-1.12,612
2026/03/04,756.79,770.00,90.00,763.80,+7.01,+13.21,+6.20,+0.81,610
2026/03/03,859.40,860.00,70.15,867.85,+8.45,+0.60,-7.85,-0.90,607
2026/02/27,933.34,930.15,6.25,943.16,+9.82,-3.19,-13.01,-1.38,602
2026/02/26,944.02,936.40,69.35,954.17,+10.15,-7.62,-17.77,-1.86,597
2026/02/25,903.83,867.05,1.50,911.87,+8.04,-36.78,-44.82,-4.92,598
2026/02/24,886.88,865.55,0.45,894.63,+7.75,-21.33,-29.08,-3.25,598
2026/02/23,865.49,865.10,1.00,873.00,+7.51,-0.39,-7.90,-0.90,576
2026/02/20,859.59,866.10,24.50,867.26,+7.67,+6.51,-1.16,-0.13,574
2026/02/19,840.24,841.60,20.30,847.62,+7.38,+1.36,-6.02,-0.71,575
2026/02/13,814.59,814.00,0.00,821.88,+7.29,-0.59,-7.88,-0.96,572
2026/02/12,816.28,814.00,20.95,823.68,+7.40,-2.28,-9.68,-1.18,570
2026/02/11,788.75,787.90,0.00,795.81,+7.06,-0.85,-7.91,-0.99,572
2026/02/10,780.76,785.30,0.00,787.84,+7.08,+4.54,-2.54,-0.32,572
2026/02/09,780.94,785.30,46.80,788.04,+7.10,+4.36,-2.74,-0.35,571
2026/02/06,748.10,738.50,21.50,754.69,+6.59,-9.60,-16.19,-2.15,572
2026/02/05,756.95,760.00,37.25,763.71,+6.76,+3.05,-3.71,-0.49,573
2026/02/04,790.38,775.10,0.00,797.80,+7.42,-15.28,-22.70,-2.85,571
2026/02/03,779.54,775.10,46.50,786.79,+7.25,-4.44,-11.69,-1.49,569
2026/02/02,725.46,781.00,0.00,731.82,+6.36,+55.54,+49.18,+6.72,568
2026/01/30,768.41,781.00,8.05,775.61,+7.20,+12.59,+5.39,+0.69,568
2026/01/29,765.59,772.95,12.25,772.75,+7.16,+7.36,+0.20,+0.03,568
2026/01/28,758.72,760.70,18.15,765.92,+7.20,+1.98,-5.22,-0.68,568
2026/01/27,745.13,742.55,17.35,752.06,+6.93,-2.58,-9.51,-1.26,570
2026/01/26,720.04,736.20,0.00,726.60,+6.56,+16.16,+9.60,+1.32,568
2026/01/23,727.29,736.20,5.05,734.04,+6.75,+8.91,+2.16,+0.29,569
2026/01/22,722.30,731.15,10.05,729.02,+6.72,+8.85,+2.13,+0.29,569
2026/01/21,714.94,713.20,0.00,721.59,+6.65,-1.74,-8.39,-1.16,567
2026/01/20,708.48,721.20,0.00,715.07,+6.59,+12.72,+6.13,+0.86,567
2026/01/19,713.96,711.80,0.00,720.83,+6.87,-2.16,-9.03,-1.25,567
2026/01/16,704.64,693.80,0.00,711.51,+6.87,-10.84,-17.71,-2.49,567
2026/01/15,696.39,693.80,2.45,703.03,+6.64,-2.59,-9.23,-1.31,567
2026/01/14,685.76,678.00,0.00,692.30,+6.54,-7.76,-14.30,-2.07,66
