일자,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금등,사모펀드,기타법인
2026/06/26,-466920,-2914940,+3465006,+3932341,+6173,-561180,+53,,+87617,,-83146
2026/06/25,+349861,+2752790,-3208475,-4928484,-5787,+1777253,,,-51457,,+105825
2026/06/24,-111838,+866465,-811916,-122494,+10426,-665357,,,-34491,,+57290
2026/06/23,-574899,-2816567,+3427214,+4333062,+24,-992524,+25,,+86627,,-35748
2026/06/22,-253443,+300784,+27461,-649234,+10933,+746277,,,-80516,,-74801
2026/06/19,-297037,+178919,+114874,+608238,+492,-505870,,,+12014,,+3245
2026/06/18,-113357,+904191,-779565,-1212859,+12974,+401819,,,+18502,,-11269
2026/06/17,+142311,+406228,-540848,-862352,-1558,+336794,,,-13732,,-7691
2026/06/16,+54829,+302817,-379086,-675907,-332,+316537,,,-19385,,+21440
2026/06/15,+186421,-778690,+576691,-123022,-3685,+690246,,,+13152,,+15578
2026/06/12,+304946,+782552,-1095319,-1447910,-3959,+367606,,+26,-11082,,+7822
2026/06/11,+169787,+77958,-256029,-51623,-7242,+6964,+63,,-204192,,+8285
2026/06/10,+192454,-1362188,+1170506,+990484,-17695,+158488,,+15,+39214,,-772
2026/06/09,-174676,+1134645,-943665,-2479779,-715,+1554362,,-4,-17529,,-16305
2026/06/08,-188233,-177838,+356943,+602995,-5941,-237656,,-22,-2433,,+9128
2026/06/05,-85721,-1730883,+1885086,+2348261,-2075,-474128,,,+13029,,-68482
2026/06/04,-133399,+213816,-22740,-711110,-3609,+697760,,,-5781,,-57676
2026/06/02,-387639,-345017,+795013,+587806,-11808,+207671,,,+11344,,-62357
2026/06/01,+32424,+404291,-462901,-526362,-33565,+105687,,,-8662,,+26187
2026/05/29,-128401,-928129,+1065058,+617017,+15537,+414748,,,+17756,,-8527
2026/05/28,+105150,-566661,+447204,+253143,+3454,+211199,,,-20591,,+14308
2026/05/27,-177058,+46559,+137622,-1757373,+13411,+1883119,,,-1536,,-7123
2026/05/26,+203752,+502416,-700998,-1583349,+465,+873799,,,+8088,,-5170
2026/05/22,+89174,-49401,-86917,-80259,+1454,-2431,,,-5682,,+47145
2026/05/21,+567160,+117930,-798960,-1009358,+3298,+209882,,,-2782,,+113869
2026/05/20,+137040,+127338,-241391,-232280,+2025,-19091,,,+7956,,-22988
2026/05/19,-86355,-304026,+409652,+374668,+7240,+4900,,,+22845,,-19271
2026/05/18,-14486,+374586,-370220,-535786,+3043,+181801,,,-19277,,+10119
2026/05/15,+51816,-1112489,+1074893,+1083907,-761,-17130,,,+8877,,-14219
2026/05/14,-209362,-974259,+1175925,+1198335,+2019,+144733,,,-169163,,+7696
2026/05/13,+184793,+748625,-944184,-1141782,+761,+195721,,,+1116,,+10765
2026/05/12,-317432,+71047,+214908,+222107,-1706,+1922,,,-7415,,+31477
2026/05/11,-71962,+1511058,-1404277,-1612040,+4492,+175032,,,+28238,,-34818
2026/05/08,+75446,+134993,-202658,-192179,+5796,-18638,,,+2363,,-7782
2026/05/07,-138321,+558120,-443632,-384721,+2587,-44196,,,-17302,,+23833
2026/05/06,-108239,+996121,-884000,-1060484,-16,+144989,,,+31510,,-3882
2026/05/04,+200702,+855708,-1073630,-1119164,-1217,+70054,,,-23304,,+17220
2026/04/30,-63987,+95930,-38883,-6278,-88,-29462,,,-3056,,+6941
2026/04/29,-54104,+34501,+19429,-30561,+1967,+43717,,,+4306,,+174
2026/04/28,-36188,+137988,-76104,-48004,-1156,-35450,,,+8506,,-25696
2026/04/27,+196616,+307918,-532340,-550009,+5144,+23420,,,-10896,,+27807
2026/04/24,+20581,-107269,+79209,+101248,-660,-21953,,,+575,,+7477
2026/04/23,-6004,-293903,+272046,+148073,-474,+115111,,,+9335,,+27861
2026/04/22,-122614,+176698,-39686,+31716,+1656,-60807,,,-12251,,-14399
2026/04/21,-76814,-1403,+91516,-28568,+982,+111350,,,+7755,,-13300
2026/04/20,+64431,-21983,-41933,-73539,-198,+36763,,,-4959,,-514
2026/04/17,-69043,-159453,+229446,+334490,+706,-116679,,,+10929,,-949
2026/04/16,+3486,-16093,+13970,+41419,-634,-12928,,,-13888,,-1364
2026/04/15,-71754,-146102,+204247,+258848,+2648,-67206,,,+9957,,+13609
2026/04/14,+95031,-49136,-4352,-55155,-851,+50648,,,+1007,,-41544
2026/04/13,-688,-11659,-3587,+12449,-423,-15143,,,-469,,+15934
2026/04/10,+59137,-271842,+217190,+202947,-82,+14107,,,+219,,-4486
2026/04/09,-77838,-175584,+218447,+178754,-2151,+103802,,,-61959,,+34974
2026/04/08,+54190,+178818,-231904,-294736,+2559,+34978,,,+25294,,-1105
2026/04/07,+33007,-92337,+75807,+44019,-1397,+35638,,,-2454,,-16477
2026/04/06,-18081,+55276,-32707,-63153,+153,+43776,,,-13482,,-4488
2026/04/03,+35128,-134610,+106187,+45772,+273,+53680,,,+6462,,-6704
2026/04/02,-40680,-202312,+231809,+278936,-60,-56680,,,+9614,,+11184
2026/04/01,-91597,+194702,-109116,-38580,-1138,-56206,,,-13192,,+6011
2026/03/31,-9091,-280743,+295336,+260703,+1721,+28089,,,+4822,,-5503
2026/03/30,-69408,+148501,-61228,+31674,-43,-105123,,,+12264,,-17865
2026/03/27,+9849,+37608,-66085,-52084,-443,-68,,,-13490,,+18628
2026/03/26,-319532,+4550,+342583,+388893,-983,-54673,,,+9346,,-27602
2026/03/25,-47524,+324015,-251910,-314951,+256,+57562,,,+5223,,-24581
2026/03/24,+9455,+105886,-101707,-169114,-108,+91203,,,-23688,,-13633
2026/03/23,-317129,-407999,+716206,+756469,+131,-46480,,,+6084,,+8922
2026/03/20,+12310,+58136,-70116,-25620,-751,-45107,,,+1364,,-330
2026/03/19,-10838,-193856,+197192,+304547,+1095,-129659,,,+21209,,+7502
2026/03/18,+141437,+333166,-481372,-530781,+907,+55737,,,-7235,,+6768
2026/03/17,+105216,-80126,-20857,+89845,+1262,-119727,,,+7762,,-4232
2026/03/16,+109098,+247311,-350672,-353799,+892,+8351,,,-6116,,-5736
2026/03/13,-28246,-2087,+28795,+71473,+1224,-36957,,,-6946,,+1539
2026/03/12,-78969,-140617,+211899,+240175,+2620,-2946,,,-27949,,+7688
2026/03/11,+98375,-33417,-71399,-86797,-276,+2627,,,+13046,,+6441
2026/03/10,+94047,+56313,-138158,-192073,-298,+64648,,,-10435,,-12202
2026/03/09,-72936,+11833,+57257,+124178,-3151,-67843,,,+4074,,+3846
2026/03/06,-1610,+28902,-39960,-26960,-2616,-16728,,,+6345,,+12668
2026/03/05,-297278,+360276,-16304,+518,-1499,-4967,,,-10355,,-46693
2026/03/04,+3751,+363999,-378687,-450033,-6519,+76824,,,+1042,,+10938
2026/03/03,-61497,-371688,+425093,+480433,-1629,-49320,,,-4390,,+8093
2026/02/27,+70925,-130799,+51195,+66692,+137,-37934,,,+22300,,+8679
2026/02/26,-195412,+562262,-372502,-375796,+7705,+1494,,,-5905,,+5653
2026/02/25,-52276,+52087,+12871,+1252,+3186,-3436,,,+11869,,-12683
2026/02/24,+112493,+149862,-281144,-295910,-59,+37151,,,-22325,,+18790
2026/02/23,-86930,-100930,+198631,+226682,-2807,-39889,,,+14646,,-10772
2026/02/20,+119622,+156106,-284766,-366518,-2029,+87236,,,-3456,,+9039
2026/02/19,+2669,+2151,-13201,-22575,-679,+23762,,,-13708,,+8381
2026/02/13,+23987,-11607,+3235,+4417,-140,-11088,,,+10045,,-15613
2026/02/12,-35745,+81723,-53550,-7441,-5457,+2217,,,-42869,,+7572
2026/02/11,-8259,-56190,+63906,+87419,-306,-35554,,,+12348,,+544
2026/02/10,-118850,+259429,-132516,-82263,-313,-60136,,,+10195,,-8063
2026/02/09,+56840,+72739,-115630,-129603,+69,+18171,,,-4267,,-13949
2026/02/06,+125754,-89607,-51366,-70103,+478,+26213,,,-7953,,+15219
2026/02/05,-280938,-243719,+498502,+515440,+250,-28065,,,+10877,,+26154
2026/02/04,+30023,+17802,-57941,-25566,-2959,-34685,,,+5270,,+10117
2026/02/03,+198537,+195238,-394106,-396583,-497,+18380,,,-15406,,+331
2026/02/02,-118943,-379373,+509048,+590431,+4357,-96362,,,+10622,,-10733
