시간,현재가,전일대비,등락률,거래량,체결량
15:45:00,-2699000,-241000, +6.41, 1399855, +9344
15:34:00,-2674000,-266000, +5.56, 1390511, +2509
15:33:00,-2672000,-268000, +5.49, 1388002, +4634
15:32:00,-2673000,-267000, +5.52, 1383368, +4423
15:31:00,-2672000,-268000, +5.49, 1378945, +4952
15:30:00,-2672000,-268000, +5.49, 1373993, +8163
15:29:00,-2663000,-277000, +5.18, 1365830, +10574
15:28:00,-2656000,-284000, +4.94, 1355256, +9762
15:27:00,-2657000,-283000, +4.98, 1345494, +8600
15:26:00,-2658000,-282000, +5.01, 1336894, +8907
15:25:00,-2654000,-286000, +4.88, 1327987, +10006
15:24:00,-2650000,-290000, +4.74, 1317981, +8097
15:23:00,-2648000,-292000, +4.67, 1309884, +10353
15:22:00,-2648000,-292000, +4.67, 1299531, +8685
15:21:00,-2648000,-292000, +4.67, 1290846, +10024
15:20:00,-2649000,-291000, +4.71, 1280822, +7870
15:19:00,-2666000,-274000, +5.28, 1272952, +6982
15:18:00,-2675000,-265000, +5.59, 1265970, +7755
15:17:00,-2678000,-262000, +5.69, 1258215, +7646
15:16:00,-2678000,-262000, +5.69, 1250569, +7927
15:15:00,-2674000,-266000, +5.56, 1242642, +7247
15:14:00,-2649000,-291000, +4.71, 1235395, +6715
15:13:00,-2649000,-291000, +4.71, 1228680, +7857
15:12:00,-2650000,-290000, +4.74, 1220823, +7934
15:11:00,-2654000,-286000, +4.88, 1212889, +8088
15:10:00,-2643000,-297000, +4.50, 1204801, +8332
15:09:00,-2627000,-313000, +3.96, 1196469, +11799
15:08:00,-2630000,-310000, +4.06, 1184670, +9278
15:07:00,-2638000,-302000, +4.33, 1175392, +9119
15:06:00,-2645000,-295000, +4.57, 1166273, +8535
15:05:00,-2649000,-291000, +4.71, 1157738, +7518
15:04:00,-2650000,-290000, +4.74, 1150220, +7031
15:03:00,-2651000,-289000, +4.77, 1143189, +6534
15:02:00,-2658000,-282000, +5.01, 1136655, +6224
15:01:00,-2653000,-287000, +4.84, 1130431, +7507
15:00:00,-2652000,-288000, +4.81, 1122924, +7686
14:59:00,-2651000,-289000, +4.77, 1115238, +8375
14:58:00,-2655000,-285000, +4.91, 1106863, +7896
14:57:00,-2661000,-279000, +5.11, 1098967, +7948
14:56:00,-2663000,-277000, +5.18, 1091019, +8514
14:55:00,-2654000,-286000, +4.88, 1082505, +7185
14:54:00,-2661000,-279000, +5.11, 1075320, +7328
14:53:00,-2671000,-269000, +5.45, 1067992, +7048
14:52:00,-2662000,-278000, +5.15, 1060944, +6886
14:51:00,-2658000,-282000, +5.01, 1054058, +7915
14:50:00,-2657000,-283000, +4.98, 1046143, +8732
14:49:00,-2660000,-280000, +5.08, 1037411, +10843
14:48:00,-2657000,-283000, +4.98, 1026568, +8111
14:47:00,-2675000,-265000, +5.59, 1018457, +8067
14:46:00,-2658000,-282000, +5.01, 1010390, +8065
14:45:00,-2660000,-280000, +5.08, 1002325, +8481
14:44:00,-2659000,-281000, +5.05, 993844, +7491
14:43:00,-2666000,-274000, +5.28, 986353, +6638
14:42:00,-2667000,-273000, +5.32, 979715, +8789
14:41:00,-2680000,-260000, +5.76, 970926, +11504
14:40:00,-2692000,-248000, +6.17, 959422, +8152
14:39:00,-2717000,-223000, +7.02, 951270, +4910
14:38:00,-2724000,-216000, +7.26, 946360, +3266
14:37:00,-2732000,-208000, -7.07, 943094, +3538
14:36:00,-2735000,-205000, -6.97, 939556, +3375
14:35:00,-2749000,-191000, -6.49, 936181, +3797
14:34:00,-2756000,-184000, -6.25, 932384, +3600
14:33:00,-2758000,-182000, -6.19, 928784, +3301
14:32:00,-2755000,-185000, -6.29, 925483, +3868
14:31:00,-2752000,-188000, -6.39, 921615, +3148
14:30:00,-2740000,-200000, -6.80, 918467, +2885
14:29:00,-2732000,-208000, -7.07, 915582, +4827
