시간,현재가,전일대비,등락률,체결량,매도호가,매수호가,거래량,체결강도
19:59:59,2700000,217000,-7.44,17235,-2700000,-2699000,11788705,-74.44
19:58:59,2700000,217000,-7.44,10683,-2701000,-2700000,11771470,-74.49
19:57:59,2703000,214000,-7.34,6355,-2703000,-2702000,11760787,-74.53
19:56:59,2702000,215000,-7.37,5251,-2703000,-2702000,11754432,-74.53
19:55:59,2701000,216000,-7.40,4572,-2702000,-2701000,11749181,-74.47
19:54:59,2701000,216000,-7.40,3377,-2701000,-2700000,11744609,-74.43
19:53:59,2701000,216000,-7.40,7575,-2701000,-2700000,11741232,-74.41
19:52:59,2699000,218000,-7.47,3424,-2699000,-2698000,11733657,-74.36
19:51:59,2699000,218000,-7.47,2981,-2699000,-2698000,11730233,-74.32
19:50:59,2698000,219000,-7.51,3250,-2698000,-2697000,11727252,-74.29
19:49:59,2697000,220000,-7.54,3156,-2697000,-2696000,11724002,-74.27
19:48:59,2696000,221000,-7.58,2104,-2697000,-2696000,11720846,-74.25
19:47:59,2697000,220000,-7.54,1932,-2697000,-2696000,11718742,-74.24
19:46:59,2696000,221000,-7.58,2487,-2697000,-2696000,11716810,-74.24
19:45:59,2697000,220000,-7.54,4496,-2698000,-2697000,11714323,-74.24
19:44:59,2700000,217000,-7.44,6132,-2700000,-2699000,11709827,-74.26
19:43:59,2700000,217000,-7.44,5411,-2701000,-2700000,11703695,-74.32
19:42:59,2701000,216000,-7.40,2200,-2702000,-2701000,11698284,-74.34
19:41:59,2702000,215000,-7.37,3875,-2702000,-2701000,11696084,-74.31
19:40:59,2702000,215000,-7.37,3393,-2702000,-2701000,11692209,-74.28
19:39:59,2701000,216000,-7.40,3594,-2701000,-2700000,11688816,-74.24
19:38:59,2700000,217000,-7.44,3587,-2700000,-2699000,11685222,-74.20
19:37:59,2698000,219000,-7.51,3074,-2698000,-2697000,11681635,-74.16
19:36:59,2697000,220000,-7.54,1727,-2698000,-2697000,11678561,-74.12
19:35:59,2696000,221000,-7.58,2184,-2696000,-2695000,11676834,-74.10
19:34:59,2694000,223000,-7.64,1629,-2695000,-2694000,11674650,-74.08
19:33:59,2694000,223000,-7.64,3019,-2694000,-2693000,11673021,-74.06
19:32:59,2692000,225000,-7.71,1331,-2693000,-2692000,11670002,-74.04
19:31:59,2692000,225000,-7.71,1707,-2693000,-2692000,11668671,-74.03
19:30:59,2693000,224000,-7.68,1501,-2693000,-2692000,11666964,-74.01
