일자,기초자산,현재가,전일대비,이론가,이론BASIS,시장BASIS,괴리치,괴리율,미결제약정
2026/06/26,1366.49,1394.75,76.25,1385.96,+105.88,+28.26,-77.62,-5.27,7891
2026/06/25,1454.15,1471.00,86.05,1472.69,+18.54,+16.85,-1.69,-0.11,7898
2026/06/24,1369.62,1384.95,42.75,1387.12,+17.50,+15.33,-2.17,-0.16,7898
2026/06/23,1321.70,1342.20,160.90,1338.67,+16.97,+20.50,+3.53,+0.26,7895
2026/06/22,1477.22,1503.10,9.05,1496.55,+19.33,+25.88,+6.55,+0.44,7903
2026/06/19,1459.48,1494.05,6.15,1478.99,+19.51,+34.57,+15.06,+1.02,7887
2026/06/18,1459.23,1487.90,48.15,1478.51,+19.28,+28.67,+9.39,+0.64,7847
2026/06/17,1416.97,1439.75,22.35,1435.81,+18.84,+22.78,+3.94,+0.27,7757
2026/06/16,1391.74,1417.40,35.80,1410.45,+18.71,+25.66,+6.95,+0.49,7619
2026/06/15,1360.26,1381.60,66.70,1378.74,+18.48,+21.34,+2.86,+0.21,7127
2026/06/12,1291.32,1314.90,73.05,1309.12,+17.80,+23.58,+5.78,+0.44,7126
2026/06/11,1231.54,1241.85,5.80,1248.34,+16.80,+10.31,-6.49,-0.52,6888
2026/06/10,1227.12,1247.65,55.00,1244.01,+16.89,+20.53,+3.64,+0.29,6887
2026/06/09,1293.40,1302.65,108.25,1311.52,+18.12,+9.25,-8.87,-0.68,6887
2026/06/08,1186.54,1316.00,0.00,1202.88,+16.34,+129.46,+113.12,+9.40,6885
2026/06/05,1297.02,1400.55,0.00,1315.51,+18.49,+103.53,+85.04,+6.46,6885
2026/06/04,1379.56,1434.10,0.00,1399.44,+19.88,+54.54,+34.66,+2.48,6885
2026/06/02,1407.23,1434.10,5.25,1427.80,+20.57,+26.87,+6.30,+0.44,6886
2026/06/01,1399.91,1439.35,75.25,1420.03,+20.12,+39.44,+19.32,+1.36,6065
