일자,시가,고가,저가,종가,대비,등락률,거래량
2026-06-26,1455.95,1458,1326.8,1385.9,75.7,-5.18,180881
2026-06-25,1475.4,1489.05,1437.05,1461.6,79.75,5.77,151236
2026-06-24,1343.5,1397,1311.25,1381.85,41.45,3.09,163988
2026-06-23,1504.7,1505.8,1324.2,1340.4,150.1,-10.07,187811
2026-06-22,1450,1514.9,1441.05,1490.5,15,1.02,122263
2026-06-19,1524,1535,1440.2,1475.5,5.4,0.37,166315
2026-06-18,1438,1479.9,1422.9,1470.1,41.25,2.89,126078
2026-06-17,1378.5,1431.55,1374.75,1428.85,25.75,1.84,91546
2026-06-16,1405,1413,1374.35,1403.1,27.1,1.97,104855
2026-06-15,1371,1386.75,1361,1376,76.15,5.86,122395
2026-06-12,1329.05,1359.7,1293.45,1299.85,63.8,5.16,148208
2026-06-11,1192.4,1249.3,1178.1,1236.05,1.1,-0.09,58477
2026-06-10,1249,1282.75,1204.55,1237.15,65.05,-5,33666
2026-06-09,1254.9,1339.75,1216.4,1302.2,137.2,11.78,18828
2026-06-08,1206.1,1259.8,1165,1165,145.95,-11.13,16558
2026-06-05,1356.95,1356.95,1289.95,1310.95,82.95,-5.95,1680
2026-06-04,1420.5,1420.5,1381,1393.9,27.9,-1.96,1974
2026-06-02,1450.9,1450.9,1370.45,1421.8,4.3,-0.3,1046
2026-06-01,1359.95,1430.85,1353.5,1426.1,67,4.93,246
2026-05-29,1347,1360,1321.6,1359.1,56.8,4.36,180
2026-05-28,1304.2,1314.15,1247.75,1302.3,8.5,-0.65,259
2026-05-27,1339.45,1351.95,1309.1,1310.8,36.55,2.87,1031
2026-05-26,1261.45,1285.5,1261.25,1274.25,38.95,3.15,802
2026-05-22,1248.3,1249.45,1223.45,1235.3,5.25,0.43,617
2026-05-21,1189.95,1232.8,1177.4,1230.05,96.85,8.55,302
2026-05-20,1152.65,1153.7,1109.95,1133.2,10.25,-0.9,129
2026-05-19,1161.5,1161.5,1119.5,1143.45,43.55,-3.67,132
2026-05-18,1160.25,1197.5,1121,1187,8,0.68,1127
2026-05-15,1250.75,1261.95,1154.6,1179,65.5,-5.26,2156
2026-05-14,1236.55,1253.5,1226.45,1244.5,16.3,1.33,456
2026-05-13,1161.5,1228.2,1155.55,1228.2,35.85,3.01,689
2026-05-12,1250,1250,1161,1192.35,26.05,-2.14,647
2026-05-11,1212.1,1234.7,1201.3,1218.4,57.8,4.98,132
2026-05-08,1132.2,1161,1130.1,1160.6,2.6,0.22,281
2026-05-07,1170,1175,1120.55,1158,23.65,2.08,109
2026-05-06,1121.75,1145.55,1110.75,1134.35,78.15,7.4,696
2026-05-04,1030,1056.45,1024.9,1056.2,53.1,5.29,150
2026-04-30,1017,1025.4,1003,1003.1,6.3,-0.62,100
2026-04-29,1003.6,1015.2,1002.4,1009.4,2.35,0.23,172
2026-04-28,1009.1,1020,1003.9,1007.05,6.05,0.6,118
2026-04-27,991.7,1010.5,991.7,1001,20.9,2.13,118
2026-04-24,985.6,990,970.4,980.1,3.9,-0.4,63
2026-04-23,987.95,997.4,956.75,984,12,1.23,139
2026-04-22,966.9,972.1,961.15,972,2.85,0.29,67
2026-04-21,957.7,969.15,956,969.15,24.15,2.56,402
2026-04-20,940.75,953.65,938.85,945,6.35,0.68,55
2026-04-17,947.55,947.55,936.5,938.65,7.2,-0.76,346
2026-04-16,931.55,947.05,931,945.85,20.8,2.25,125
2026-04-15,937.85,940.85,923.3,925.05,21.1,2.33,53
2026-04-14,905,915.75,899.6,903.95,27.4,3.13,90
2026-04-13,864.95,880,862.8,876.55,10,-1.13,63
2026-04-10,889.9,897.3,886.55,886.55,16.2,1.86,59
2026-04-09,878.15,886.15,870.1,870.35,18.1,-2.04,119
2026-04-08,880.75,898.6,876.15,888.45,62.45,7.56,162
2026-04-07,836.45,841.5,817.4,826,10.95,1.34,154
2026-04-06,809,826.9,809,815.05,11.35,1.41,119
2026-04-03,802.45,809.55,796.15,803.7,21.05,2.69,62
2026-04-02,830.7,835,770.05,782.65,39.75,-4.83,338
2026-04-01,794.35,826.1,788.55,822.4,71.3,9.49,137
2026-03-31,760,779,749.35,751.1,34.85,-4.43,730
2026-03-30,773.95,789,765,785.95,23,-2.84,195
2026-03-27,787,813.85,776.5,808.95,7.2,-0.88,327
2026-03-26,833.85,836,812,816.15,29.25,-3.46,266
2026-03-25,843,882.95,842.05,845.4,11.7,1.4,479
2026-03-24,847.6,864.3,810,833.7,25.4,3.14,216
2026-03-23,830.65,832.75,805.75,808.3,57.3,-6.62,188
2026-03-20,874.65,877,865.5,865.6,1.4,-0.16,121
2026-03-19,863.85,880.65,862.35,867,27.55,-3.08,364
2026-03-18,865.85,896.4,865.85,894.55,47.4,5.6,123
2026-03-17,854.95,858.7,843.35,847.15,16.05,1.93,58
2026-03-16,817,831.2,813.55,831.1,14.1,1.73,107
2026-03-13,814,824.95,813.1,817,17.8,-2.13,25
2026-03-12,833.8,840,833.7,834.8,7.85,-0.93,5
2026-03-11,848,873.3,820.15,842.65,11.85,1.43,13
2026-03-10,819,830.8,819,830.8,50.7,6.5,6
2026-03-09,769,782,762.1,780.1,55.15,-6.6,22
2026-03-06,830,830,830,830,0,0,0
2026-03-05,820.1,832.15,820.1,830,60,7.79,9
